node_id,name,degree,degree_centrality,closeness,betweenness,pagerank
Spider-Man,Spider-Man,106,0.38405797101449274,0.5948275862068966,0.2349468109924437,0.05014098886965177
Hulk,Hulk,65,0.23550724637681159,0.5257142857142857,0.10504922646350522,0.027998476210234952
Wolverine_(character),Wolverine (character),63,0.2282608695652174,0.523719165085389,0.09247007767117231,0.025926158491162945
Doctor_Strange,Doctor Strange,57,0.20652173913043478,0.5168539325842697,0.08267034461965445,0.02072355595361328
Deadpool,Deadpool,41,0.14855072463768115,0.4937388193202147,0.05599383626150203,0.014809219214712009
She-Hulk,She-Hulk,37,0.13405797101449277,0.4816753926701571,0.0398037765336183,0.012177549718325334
Hercules_(Marvel_Comics),Hercules (Marvel Comics),26,0.09420289855072464,0.467005076142132,0.03737937581542801,0.012241783266214676
Black_Widow_(Natasha_Romanova),Black Widow (Natasha Romanova),25,0.09057971014492754,0.46,0.03512029844667589,0.010101026838963332
Phoenix_Force,Phoenix (Guardians of the Galaxy),32,0.11594202898550725,0.4709897610921502,0.02570981488784128,0.013601939701146624
U.S._Agent,U.S. Agent,21,0.07608695652173914,0.45098039215686275,0.025459877680132557,0.0022128709810483923
Scarlet_Witch,Scarlet Witch,32,0.11594202898550725,0.4750430292598967,0.02434413623096369,0.012886612751302772
Quasar_(character),Quasar (character),24,0.08695652173913043,0.40828402366863903,0.024216121280981107,0.012659731704607087
Moon_Knight,Moon Knight,27,0.09782608695652174,0.46938775510204084,0.023422991518455945,0.008406113885381762
Cable_(character),Cable (character),24,0.08695652173913043,0.43260188087774293,0.021911164658837492,0.011572247313429651
Cloak_and_Dagger_(characters),Cloak and Dagger (characters),28,0.10144927536231885,0.467005076142132,0.0213922247645382,0.004699893062432817
Deathlok,Deathlok,20,0.07246376811594203,0.43601895734597157,0.021330119722229788,0.005749076879997723
Hank_Pym,Hank Pym,27,0.09782608695652174,0.4346456692913386,0.02098349723286165,0.008529676053961403
Iron_Fist_(character),Iron Fist (character),26,0.09420289855072464,0.44660194174757284,0.020884731490128542,0.008671767982489963
Black_Panther_(character),Black Panther (character),31,0.11231884057971014,0.4495114006514658,0.020627146238301714,0.010490186542700512
Nova_(Richard_Rider),Nova (Richard Rider),21,0.07608695652173914,0.43328100470957615,0.019137154637872075,0.009763796040828877
Adam_Warlock,Adam Warlock,25,0.09057971014492754,0.467005076142132,0.01854582759474331,0.004040626193420012
Emma_Frost,Emma Frost,27,0.09782608695652174,0.44660194174757284,0.017229596614624424,0.00817812998496088
Luke_Cage,Luke Cage,28,0.10144927536231885,0.45320197044334976,0.01664761661317231,0.010861300213581199
Black_Bolt,Black Bolt,18,0.06521739130434782,0.4423076923076923,0.016169937158098096,0.006299837394908441
Darkhawk,Darkhawk,15,0.05434782608695652,0.431924882629108,0.015739854546835567,0.00470028318628846
Captain_Universe,Captain Universe,17,0.06159420289855073,0.4437299035369775,0.015329332039641198,0.0035461550854540905
Star_Brand,Star Brand,16,0.057971014492753624,0.4029197080291971,0.014780366029678853,0.003494124220606266
Rachel_Summers,Rachel Summers,24,0.08695652173913043,0.4416,0.014339778980282795,0.008984013083981978
War_Machine,War Machine,16,0.057971014492753624,0.39598278335724535,0.013558834863767267,0.004478158666768219
Venom_(character),Venom (character),29,0.10507246376811594,0.46308724832214765,0.013153420980705348,0.01366147439010725
Ghost_Rider,Ghost Rider,22,0.07971014492753624,0.4524590163934426,0.012907214516713813,0.006562853437919369
Human_Torch_(android),Human Torch (android),17,0.06159420289855073,0.38764044943820225,0.012352108351859573,0.008547116572602457
Mockingbird_(Marvel_Comics),Mockingbird (Marvel Comics),21,0.07608695652173914,0.4416,0.012248869888957764,0.00483879642736678
Shang-Chi,Shang-Chi,18,0.06521739130434782,0.44301765650080255,0.012160648592646464,0.006328825190586594
Human_Torch,Human Torch,18,0.06521739130434782,0.43601895734597157,0.012080761171325893,0.008906450429739556
Betsy_Braddock,Betsy Braddock,28,0.10144927536231885,0.4623115577889447,0.011845985097113357,0.0044481460002437105
Cyclops_(Marvel_Comics),Cyclops (Marvel Comics),26,0.09420289855072464,0.4107142857142857,0.011747653026827624,0.012280947802650691
Jean_Grey,Jean Grey,24,0.08695652173913043,0.42923794712286156,0.010814104873744596,0.012990947045335429
Doctor_Nemesis,Doctor Nemesis,15,0.05434782608695652,0.4339622641509434,0.010356135759167502,0.003941123938096839
